# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.hits,1775857297856000000,1775857357873000000,3
StreamlinedBlobStorage.recordsRelocated,1775857297856000000,1775857357873000000,0
FilePageCache.uncachedFileAccess,1775857297856000000,1775857357873000000,291
FilePageCache.pageFastCacheHits,1775857297856000000,1775857357873000000,9675
FilePageCache.capacityInBytes,1775857297856000000,1775857357873000000,629145600
FilePageCache.pageLoadsAboveSizeThreshold,1775857297856000000,1775857357873000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1775857297856000000,1775857357873000000,2235108
FileChannelInterruptsRetryer.totalRetriedAttempts,1775857297856000000,1775857357873000000,0
FilePageCache.totalPageLoadsUs,1775857297856000000,1775857357873000000,1655495
FilePageCache.pageHits,1775857297856000000,1775857357873000000,0
FilePageCache.pageLoads,1775857297856000000,1775857357873000000,392
StorageLockContext.competingThreads.max,1775857297856000000,1775857357873000000,26
MappedFileStorage.totalPagesMapped,1775857297856000000,1775857357873000000,12
MappedFileStorage.totalBytesMapped,1775857297856000000,1775857357873000000,185860096
FilePageCache.disposedBuffers,1775857297856000000,1775857357873000000,3
StreamlinedBlobStorage.recordsDeleted,1775857297856000000,1775857357873000000,3
DirectByteBufferAllocator.reclaimed,1775857297856000000,1775857357873000000,3
MappedFileStorage.totalTimeSpentOnMappingUs,1775857297856000000,1775857357873000000,17315
StreamlinedBlobStorage.recordsAllocated,1775857297856000000,1775857357873000000,31334
MappedFileStorage.storages,1775857297856000000,1775857357873000000,12
StorageLockContext.competingThreads.avg,1775857297856000000,1775857357873000000,0.24369747899159663
DirectByteBufferAllocator.disposed,1775857297856000000,1775857357873000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1775857297856000000,1775857357873000000,434310
FilePageCache.maxCacheSizeInBytes,1775857297856000000,1775857357873000000,405815296
DirectByteBufferAllocator.misses,1775857297856000000,1775857357873000000,389
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775857297856000000,1775857357873000000,405815296
StorageLockContext.competingThreads.90P,1775857297856000000,1775857357873000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775857297856000000,1775857357873000000,0
FilePageCache.totalPageDisposalsUs,1775857297856000000,1775857357873000000,3824
FilePageCache.maxRegisteredFiles,1775857297856000000,1775857357873000000,1030
ReadAction.executionsCount,1775857297856000000,1775857357873000000,84777
AWTEventQueue.dispatchTimeTotalNS,1775857297856000000,1775857357873000000,13411748515
AWTEventQueue.eventsDispatched,1775857297856000000,1775857357873000000,4532
FlushQueue.waitingTime90PNs,1775857297856000000,1775857357873000000,162529279
FlushQueue.queueSizeAvg,1775857297856000000,1775857357873000000,12.82704982863169
AWTEventQueue.dispatchTimeAvgNs,1775857297856000000,1775857357873000000,2958980.646072374
FlushQueue.queueSize90P,1775857297856000000,1775857357873000000,39
NonBlockingReadAction.failedExecutionTimeUs,1775857297856000000,1775857357873000000,0
FlushQueue.executionTimeMaxNs,1775857297856000000,1775857357873000000,624951295
FlushQueue.waitingTimeAvgNs,1775857297856000000,1775857357873000000,5.134757037859214E7
WriteAction.executionsCount,1775857297856000000,1775857357873000000,164
FlushQueue.queueSizeMax,1775857297856000000,1775857357873000000,186
AWTEventQueue.dispatchTimeMaxNs,1775857297856000000,1775857357873000000,629145599
FlushQueue.executionTime90PNs,1775857297856000000,1775857357873000000,552959
NonBlockingReadAction.failedExecutionsCount,1775857297856000000,1775857357873000000,0
AWTEventQueue.dispatchTime90PNs,1775857297856000000,1775857357873000000,5701631
NonBlockingReadAction.finalizedExecutionTimeUs,1775857297856000000,1775857357873000000,455101
NonBlockingReadAction.finalizedExecutionsCount,1775857297856000000,1775857357873000000,320
FlushQueue.waitingTimeMaxNs,1775857297856000000,1775857357873000000,1484783615
FlushQueue.executionTimeAvgNs,1775857297856000000,1775857357873000000,836545.7035328236
FlushQueue.tasksExecuted,1775857297856000000,1775857357873000000,7586
Indexes.entries.lookupDurationMaxMs,1775857297856000000,1775857357873000000,125.0
Indexes.allKeys.lookups,1775857297856000000,1775857357873000000,0
Indexes.allKeys.lookupDurationMaxMs,1775857297856000000,1775857357873000000,0.0
