# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.loading.total.ms,1775855844436000000,1775855904647000000,267
workspaceModel.cachedValueWithParameters.clear.count,1775855844436000000,1775855904647000000,0
workspaceModel.check.recursive.update.ms,1775855844436000000,1775855904647000000,0
workspaceModel.updates.precise.ms,1775855844436000000,1775855904647000000,38
workspaceModel.full.replace.project.model.ms,1775855844436000000,1775855904647000000,6
workspaceModel.workspaceFileIndexData.init.ms,1775855844436000000,1775855904647000000,53
workspaceModel.workspaceFileIndexData.processFileSets.ms,1775855844436000000,1775855904647000000,0
workspaceModel.to.snapshot.ms,1775855844436000000,1775855904647000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1775855844436000000,1775855904647000000,19
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1775855844436000000,1775855904647000000,0
workspaceModel.on.changed.ms,1775855844436000000,1775855904647000000,96
workspaceModel.update.unloaded.entities.ms,1775855844436000000,1775855904647000000,0
workspaceModel.pre.handlers.ms,1775855844436000000,1775855904647000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1775855844436000000,1775855904647000000,12
workspaceModel.cachedValueWithParameters.from.cache.count,1775855844436000000,1775855904647000000,0
workspaceModel.on.before.changed.ms,1775855844436000000,1775855904647000000,54
workspaceModel.initializing.ms,1775855844436000000,1775855904647000000,21
workspaceModel.cachedValueWithParameters.total.get.count,1775855844436000000,1775855904647000000,0
workspaceModel.cachedValue.total.get.count,1775855844436000000,1775855904647000000,65
workspaceModel.workspaceFileIndexData.getPackageName.ms,1775855844436000000,1775855904647000000,6
workspaceModel.updates.ms,1775855844436000000,1775855904647000000,216
workspaceModel.cachedValue.calculated.count,1775855844436000000,1775855904647000000,15
workspaceModel.collect.changes.ms,1775855844436000000,1775855904647000000,0
