# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDurationMaxMs,1775855700441000000,1775855760307000000,8.0
Indexes.stubs.lookupDurationMaxMs,1775855700441000000,1775855760307000000,0.0
Indexes.entries.lookups,1775855700441000000,1775855760307000000,4
Indexing.writesQueuedMax,1775855700441000000,1775855760307000000,0
Indexes.allKeys.lookupDuration90PMs,1775855700441000000,1775855760307000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1775855700441000000,1775855760307000000,0
Indexes.allKeys.lookups,1775855700441000000,1775855760307000000,0
Indexes.allKeys.lookupDurationAvgMs,1775855700441000000,1775855760307000000,0.0
Indexing.totalTimeIndexersSleptMs,1775855700441000000,1775855760307000000,0
Indexes.entries.lookupDurationAvgMs,1775855700441000000,1775855760307000000,3.75
Indexing.writer_4.totalTimeSpentWritingMs,1775855700441000000,1775855760307000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1775855700441000000,1775855760307000000,0
Indexing.cache.totalCacheEvicted,1775855700441000000,1775855760307000000,3
Indexes.stubs.lookups,1775855700441000000,1775855760307000000,0
Indexing.writesQueuedMin,1775855700441000000,1775855760307000000,0
Indexing.cache.totalCacheMisses,1775855700441000000,1775855760307000000,3
Indexes.stubs.lookupDuration90PMs,1775855700441000000,1775855760307000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1775855700441000000,1775855760307000000,0
Indexing.cache.totalCacheAccesses,1775855700441000000,1775855760307000000,6
Indexes.allKeys.lookupDurationMaxMs,1775855700441000000,1775855760307000000,0.0
Indexes.entries.lookupDuration90PMs,1775855700441000000,1775855760307000000,8.0
Indexing.writer_2.totalTimeSpentWritingMs,1775855700441000000,1775855760307000000,0
Indexing.writer_5.totalTimeSpentWritingMs,1775855700441000000,1775855760307000000,0
Indexes.stubs.lookupDurationAvgMs,1775855700441000000,1775855760307000000,0.0
Indexing.writesQueuedAvg,1775855700441000000,1775855760307000000,0.0
FileChannelInterruptsRetryer.totalRetriedAttempts,1775855700441000000,1775855760307000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775855700441000000,1775855760307000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775855700441000000,1775855760307000000,41959424
FilePageCache.pageHits,1775855700441000000,1775855760307000000,0
FilePageCache.uncachedFileAccess,1775855700441000000,1775855760307000000,286
DirectByteBufferAllocator.misses,1775855700441000000,1775855760307000000,384
MappedFileStorage.totalPagesMapped,1775855700441000000,1775855760307000000,0
FilePageCache.capacityInBytes,1775855700441000000,1775855760307000000,629145600
FilePageCache.pageLoadsAboveSizeThreshold,1775855700441000000,1775855760307000000,0
FilePageCache.totalPageLoadsUs,1775855700441000000,1775855760307000000,1661374
MappedFileStorage.totalTimeSpentOnMappingUs,1775855700441000000,1775855760307000000,20392
DirectByteBufferAllocator.disposed,1775855700441000000,1775855760307000000,384
StorageLockContext.competingThreads.90P,1775855700441000000,1775855760307000000,0
DirectByteBufferAllocator.reclaimed,1775855700441000000,1775855760307000000,45
StorageLockContext.competingThreads.max,1775855700441000000,1775855760307000000,24
StorageLockContext.competingThreads.avg,1775855700441000000,1775855760307000000,0.23728813559322035
FilePageCache.maxRegisteredFiles,1775855700441000000,1775855760307000000,1030
MappedFileStorage.storages,1775855700441000000,1775855760307000000,0
DirectByteBufferAllocator.hits,1775855700441000000,1775855760307000000,3
FilePageCache.pageLoads,1775855700441000000,1775855760307000000,387
FilePageCache.pageFastCacheHits,1775855700441000000,1775855760307000000,7547
FilePageCache.totalPageDisposalsUs,1775855700441000000,1775855760307000000,5070
MappedFileStorage.totalBytesMapped,1775855700441000000,1775855760307000000,0
FilePageCache.disposedBuffers,1775855700441000000,1775855760307000000,387
FilePageCache.maxCacheSizeInBytes,1775855700441000000,1775855760307000000,400572416
VFS.folderCaseSensitivityReads,1775855700441000000,1775855760307000000,0
VFS.invertedFileNameIndex.requests,1775855700441000000,1775855760307000000,6
VFS.fileChildByName,1775855700441000000,1775855760307000000,2122
VFS.fileByIdCache.hits,1775855700441000000,1775855760307000000,0
VFS.fileByIdCache.misses,1775855700441000000,1775855760307000000,11
parser.DotEnv.size.bytes,1775855700441000000,1775855760307000000,457
DiskQueryRelay.taskExecutionTotalTimeUs,1775855700441000000,1775855760307000000,63394
writeAction.median.wait.ms,1775855700441000000,1775855760307000000,0
lexer.DotEnv.size.bytes,1775855700441000000,1775855760307000000,457
writeAction.count,1775855700441000000,1775855760307000000,11
lexer.DotEnv.time.ns,1775855700441000000,1775855760307000000,6223472
parser.DotEnv.time.ns,1775855700441000000,1775855760307000000,6760154
writeAction.max.wait.ms,1775855700441000000,1775855760307000000,3
DiskQueryRelay.tasksRequested,1775855700441000000,1775855760307000000,131
DiskQueryRelay.tasksExecuted,1775855700441000000,1775855760307000000,131
DiskQueryRelay.taskWaitingTotalTimeUs,1775855700441000000,1775855760307000000,125414
writeAction.wait.ms,1775855700441000000,1775855760307000000,7
compiler.ArtifactManagerBridge.findArtifact.ms,1775855700441000000,1775855760307000000,0
compiler.ArtifactManagerBridge.commit.ms,1775855700441000000,1775855760307000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1775855700441000000,1775855760307000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1775855700441000000,1775855760307000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1775855700441000000,1775855760307000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1775855700441000000,1775855760307000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1775855700441000000,1775855760307000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1775855700441000000,1775855760307000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1775855700441000000,1775855760307000000,0
AWTEventQueue.dispatchTime90PNs,1775855700441000000,1775855760307000000,7766015
FlushQueue.executionTimeAvgNs,1775855700441000000,1775855760307000000,2102339.368100495
FlushQueue.waitingTimeMaxNs,1775855700441000000,1775855760307000000,1543503871
AWTEventQueue.dispatchTimeMaxNs,1775855700441000000,1775855760307000000,595591167
NonBlockingReadAction.finalizedExecutionTimeUs,1775855700441000000,1775855760307000000,201468
FlushQueue.queueSize90P,1775855700441000000,1775855760307000000,140
AWTEventQueue.dispatchTimeTotalNS,1775855700441000000,1775855760307000000,10444385893
FlushQueue.waitingTime90PNs,1775855700441000000,1775855760307000000,603979775
NonBlockingReadAction.failedExecutionsCount,1775855700441000000,1775855760307000000,0
AWTEventQueue.eventsDispatched,1775855700441000000,1775855760307000000,1813
NonBlockingReadAction.failedExecutionTimeUs,1775855700441000000,1775855760307000000,0
FlushQueue.waitingTimeAvgNs,1775855700441000000,1775855760307000000,1.8760076417510468E8
AWTEventQueue.dispatchTimeAvgNs,1775855700441000000,1775855760307000000,5760782.473248759
FlushQueue.queueSizeMax,1775855700441000000,1775855760307000000,297
FlushQueue.executionTimeMaxNs,1775855700441000000,1775855760307000000,595591167
WriteAction.executionsCount,1775855700441000000,1775855760307000000,11
FlushQueue.executionTime90PNs,1775855700441000000,1775855760307000000,1007615
NonBlockingReadAction.finalizedExecutionsCount,1775855700441000000,1775855760307000000,16
ReadAction.executionsCount,1775855700441000000,1775855760307000000,35878
FlushQueue.queueSizeAvg,1775855700441000000,1775855760307000000,44.16025885039969
FlushQueue.tasksExecuted,1775855700441000000,1775855760307000000,2627
cacheStateStorage.set.counter,1775855700441000000,1775855760307000000,3
cacheStateStorage.set.duration,1775855700441000000,1775855760307000000,9
cacheStateStorage.get.counter,1775855700441000000,1775855760307000000,25
cacheStateStorage.get.duration,1775855700441000000,1775855760307000000,86
JVM.maxHeapBytes,1775855700441000000,1775855760307000000,2147483648
JVM.committedHeapBytes,1775855700441000000,1775855760307000000,749731840
JVM.usedNativeBytes,1775855700441000000,1775855760307000000,340102344
JVM.GC.collections,1775855700441000000,1775855760307000000,62
JVM.totalTimeToSafepointsMs,1775855700441000000,1775855760307000000,68
JVM.usedHeapBytes,1775855700441000000,1775855760307000000,500517240
JVM.totalTimeAtSafepointsMs,1775855700441000000,1775855760307000000,959
JVM.totalCpuTimeMs,1775855700441000000,1775855760307000000,117090
JVM.threadCount,1775855700441000000,1775855760307000000,119
JVM.totalDirectByteBuffersBytes,1775855700441000000,1775855760307000000,6674003
MEM.ramBytes,1775855700441000000,1775855760307000000,1858416640
MEM.fileMappingsRamBytes,1775855700441000000,1775855760307000000,540991488
MEM.ramMinusFileMappingsBytes,1775855700441000000,1775855760307000000,1317318656
JVM.newThreadsCount,1775855700441000000,1775855760307000000,138
JVM.GC.collectionTimesMs,1775855700441000000,1775855760307000000,935
OS.loadAverage,1775855700441000000,1775855760307000000,4.7783203125
JVM.maxThreadCount,1775855700441000000,1775855760307000000,124
JVM.totalSafepointCount,1775855700441000000,1775855760307000000,205
MEM.ramPlusSwapMinusFileMappingsBytes,1775855700441000000,1775855760307000000,1317318656
JVM.totalBytesAllocated,1775855700441000000,1775855760307000000,6700583912
workspaceModel.global.apply.state.to.project.builder.ms,1775855700441000000,1775855760307000000,3
jps.apply.loaded.storage.ms,1775855700441000000,1775855760307000000,22
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1775855700441000000,1775855760307000000,8
jps.module.iml.entities.serializer.save.entities.ms,1775855700441000000,1775855760307000000,0
jps.reload.project.entities.ms,1775855700441000000,1775855760307000000,0
jps.library.entities.serializer.save.entities.ms,1775855700441000000,1775855760307000000,0
jps.facet.change.listener.init.bridge.ms,1775855700441000000,1775855760307000000,6
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775855700441000000,1775855760307000000,0
workspaceModel.save.cache.to.file.ms,1775855700441000000,1775855760307000000,123
jps.load.project.to.empty.storage.ms,1775855700441000000,1775855760307000000,93
workspaceModel.moduleBridgeLoader.loading.modules.ms,1775855700441000000,1775855760307000000,537
workspaceModel.global.updates.ms,1775855700441000000,1775855760307000000,11
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775855700441000000,1775855760307000000,3
workspaceModel.global.apply.state.to.project.ms,1775855700441000000,1775855760307000000,283
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775855700441000000,1775855760307000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1775855700441000000,1775855760307000000,0
jps.load.initial.state.ms,1775855700441000000,1775855760307000000,40
jps.global.handle.before.change.events.ms,1775855700441000000,1775855760307000000,0
