# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.avg,1775851106436000000,1775851166630000000,0.0
FilePageCache.capacityInBytes,1775851106436000000,1775851166630000000,629145600
StorageLockContext.competingThreads.max,1775851106436000000,1775851166630000000,0
DirectByteBufferAllocator.disposed,1775851106436000000,1775851166630000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1775851106436000000,1775851166630000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775851106436000000,1775851166630000000,563101696
FilePageCache.disposedBuffers,1775851106436000000,1775851166630000000,3
FilePageCache.pageHits,1775851106436000000,1775851166630000000,15826
DirectByteBufferAllocator.hits,1775851106436000000,1775851166630000000,3
MappedFileStorage.storages,1775851106436000000,1775851166630000000,15
StreamlinedBlobStorage.recordsRelocated,1775851106436000000,1775851166630000000,0
MappedFileStorage.totalPagesMapped,1775851106436000000,1775851166630000000,15
DirectByteBufferAllocator.misses,1775851106436000000,1775851166630000000,539
FilePageCache.maxRegisteredFiles,1775851106436000000,1775851166630000000,1030
FilePageCache.pageLoadsAboveSizeThreshold,1775851106436000000,1775851166630000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775851106436000000,1775851166630000000,0
FilePageCache.pageFastCacheHits,1775851106436000000,1775851166630000000,3098859
FilePageCache.uncachedFileAccess,1775851106436000000,1775851166630000000,751
StorageLockContext.competingThreads.90P,1775851106436000000,1775851166630000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1775851106436000000,1775851166630000000,2234198
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1775851106436000000,1775851166630000000,434155
MappedFileStorage.totalBytesMapped,1775851106436000000,1775851166630000000,198443008
FilePageCache.maxCacheSizeInBytes,1775851106436000000,1775851166630000000,563101696
StreamlinedBlobStorage.recordsDeleted,1775851106436000000,1775851166630000000,3
FilePageCache.totalPageLoadsUs,1775851106436000000,1775851166630000000,4301066
FilePageCache.pageLoads,1775851106436000000,1775851166630000000,542
DirectByteBufferAllocator.reclaimed,1775851106436000000,1775851166630000000,3
MappedFileStorage.totalTimeSpentOnMappingUs,1775851106436000000,1775851166630000000,61469
StreamlinedBlobStorage.recordsAllocated,1775851106436000000,1775851166630000000,31321
FilePageCache.totalPageDisposalsUs,1775851106436000000,1775851166630000000,3889
JVM.totalSafepointCount,1775851106436000000,1775851166630000000,219
JVM.totalTimeToSafepointsMs,1775851106436000000,1775851166630000000,139
JVM.totalBytesAllocated,1775851106436000000,1775851166630000000,13107736800
MEM.ramPlusSwapMinusFileMappingsBytes,1775851106436000000,1775851166630000000,2469683200
JVM.totalTimeAtSafepointsMs,1775851106436000000,1775851166630000000,1083
JVM.GC.collectionTimesMs,1775851106436000000,1775851166630000000,1041
MEM.ramMinusFileMappingsBytes,1775851106436000000,1775851166630000000,2469683200
JVM.maxThreadCount,1775851106436000000,1775851166630000000,150
JVM.totalCpuTimeMs,1775851106436000000,1775851166630000000,301540
JVM.GC.collections,1775851106436000000,1775851166630000000,89
JVM.usedNativeBytes,1775851106436000000,1775851166630000000,408204496
JVM.usedHeapBytes,1775851106436000000,1775851166630000000,960890944
JVM.totalDirectByteBuffersBytes,1775851106436000000,1775851166630000000,575021797
JVM.maxHeapBytes,1775851106436000000,1775851166630000000,2147483648
MEM.fileMappingsRamBytes,1775851106436000000,1775851166630000000,746610688
JVM.threadCount,1775851106436000000,1775851166630000000,149
MEM.ramBytes,1775851106436000000,1775851166630000000,3216396288
JVM.committedHeapBytes,1775851106436000000,1775851166630000000,1225785344
OS.loadAverage,1775851106436000000,1775851166630000000,8.125
JVM.newThreadsCount,1775851106436000000,1775851166630000000,179
compiler.ArtifactManagerBridge.addArtifact.ms,1775851106436000000,1775851166630000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1775851106436000000,1775851166630000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1775851106436000000,1775851166630000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1775851106436000000,1775851166630000000,1
compiler.ArtifactManagerBridge.commit.ms,1775851106436000000,1775851166630000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1775851106436000000,1775851166630000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1775851106436000000,1775851166630000000,2
AWTEventQueue.eventsDispatched,1775851106436000000,1775851166630000000,0
FlushQueue.queueSize90P,1775851106436000000,1775851166630000000,0
AWTEventQueue.dispatchTime90PNs,1775851106436000000,1775851166630000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1775851106436000000,1775851166630000000,415688
FlushQueue.executionTime90PNs,1775851106436000000,1775851166630000000,0
NonBlockingReadAction.finalizedExecutionsCount,1775851106436000000,1775851166630000000,39
FlushQueue.queueSizeAvg,1775851106436000000,1775851166630000000,0.0
FlushQueue.waitingTime90PNs,1775851106436000000,1775851166630000000,0
NonBlockingReadAction.failedExecutionsCount,1775851106436000000,1775851166630000000,2
WriteAction.executionsCount,1775851106436000000,1775851166630000000,36
ReadAction.executionsCount,1775851106436000000,1775851166630000000,163234
NonBlockingReadAction.failedExecutionTimeUs,1775851106436000000,1775851166630000000,4252
FlushQueue.waitingTimeAvgNs,1775851106436000000,1775851166630000000,0.0
FlushQueue.executionTimeMaxNs,1775851106436000000,1775851166630000000,0
AWTEventQueue.dispatchTimeTotalNS,1775851106436000000,1775851166630000000,14571710052
