# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775851627737000000,1775851687930000000,1048576
DirectByteBufferAllocator.disposed,1775851627737000000,1775851687930000000,386
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1775851627737000000,1775851687930000000,2234548
DirectByteBufferAllocator.reclaimed,1775851627737000000,1775851687930000000,45
FilePageCache.pageHits,1775851627737000000,1775851687930000000,0
FilePageCache.maxCacheSizeInBytes,1775851627737000000,1775851687930000000,402669568
FilePageCache.disposedBuffers,1775851627737000000,1775851687930000000,389
StorageLockContext.competingThreads.avg,1775851627737000000,1775851687930000000,0.0
StreamlinedBlobStorage.recordsRelocated,1775851627737000000,1775851687930000000,0
FilePageCache.uncachedFileAccess,1775851627737000000,1775851687930000000,292
FilePageCache.pageLoadsAboveSizeThreshold,1775851627737000000,1775851687930000000,0
FilePageCache.maxRegisteredFiles,1775851627737000000,1775851687930000000,1030
FilePageCache.capacityInBytes,1775851627737000000,1775851687930000000,629145600
FileChannelInterruptsRetryer.totalRetriedAttempts,1775851627737000000,1775851687930000000,0
StreamlinedBlobStorage.recordsDeleted,1775851627737000000,1775851687930000000,3
MappedFileStorage.storages,1775851627737000000,1775851687930000000,14
FilePageCache.pageLoads,1775851627737000000,1775851687930000000,390
MappedFileStorage.totalPagesMapped,1775851627737000000,1775851687930000000,14
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775851627737000000,1775851687930000000,41959424
FilePageCache.totalPageDisposalsUs,1775851627737000000,1775851687930000000,3571
FilePageCache.pageFastCacheHits,1775851627737000000,1775851687930000000,7819
StorageLockContext.competingThreads.max,1775851627737000000,1775851687930000000,0
MappedFileStorage.totalBytesMapped,1775851627737000000,1775851687930000000,194248704
FilePageCache.totalPageLoadsUs,1775851627737000000,1775851687930000000,983889
MappedFileStorage.totalTimeSpentOnMappingUs,1775851627737000000,1775851687930000000,18374
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1775851627737000000,1775851687930000000,434200
StorageLockContext.competingThreads.90P,1775851627737000000,1775851687930000000,0
DirectByteBufferAllocator.misses,1775851627737000000,1775851687930000000,387
DirectByteBufferAllocator.hits,1775851627737000000,1775851687930000000,3
StreamlinedBlobStorage.recordsAllocated,1775851627737000000,1775851687930000000,31326
writeAction.count,1775851627737000000,1775851687930000000,35
writeAction.max.wait.ms,1775851627737000000,1775851687930000000,38
parser.DotEnv.size.bytes,1775851627737000000,1775851687930000000,408
DiskQueryRelay.taskExecutionTotalTimeUs,1775851627737000000,1775851687930000000,387955
lexer.IgnoreLang.time.ns,1775851627737000000,1775851687930000000,54988
parser.IgnoreLang.size.bytes,1775851627737000000,1775851687930000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1775851627737000000,1775851687930000000,702037
lexer.IgnoreLang.size.bytes,1775851627737000000,1775851687930000000,0
parser.IgnoreLang.time.ns,1775851627737000000,1775851687930000000,5996298
parser.DotEnv.time.ns,1775851627737000000,1775851687930000000,9306951
DiskQueryRelay.tasksExecuted,1775851627737000000,1775851687930000000,1128
lexer.DotEnv.size.bytes,1775851627737000000,1775851687930000000,408
writeAction.wait.ms,1775851627737000000,1775851687930000000,110
lexer.DotEnv.time.ns,1775851627737000000,1775851687930000000,10664511
writeAction.median.wait.ms,1775851627737000000,1775851687930000000,100
DiskQueryRelay.tasksRequested,1775851627737000000,1775851687930000000,1128
FlushQueue.waitingTimeMaxNs,1775851627737000000,1775851687930000000,0
FlushQueue.queueSizeAvg,1775851627737000000,1775851687930000000,0.0
WriteAction.executionsCount,1775851627737000000,1775851687930000000,35
ReadAction.executionsCount,1775851627737000000,1775851687930000000,71191
AWTEventQueue.eventsDispatched,1775851627737000000,1775851687930000000,1
FlushQueue.executionTime90PNs,1775851627737000000,1775851687930000000,0
AWTEventQueue.dispatchTimeAvgNs,1775851627737000000,1775851687930000000,1126400.0
FlushQueue.queueSize90P,1775851627737000000,1775851687930000000,0
FlushQueue.waitingTime90PNs,1775851627737000000,1775851687930000000,0
FlushQueue.tasksExecuted,1775851627737000000,1775851687930000000,0
NonBlockingReadAction.failedExecutionsCount,1775851627737000000,1775851687930000000,4
AWTEventQueue.dispatchTimeTotalNS,1775851627737000000,1775851687930000000,11231305295
AWTEventQueue.dispatchTimeMaxNs,1775851627737000000,1775851687930000000,1130495
FlushQueue.queueSizeMax,1775851627737000000,1775851687930000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1775851627737000000,1775851687930000000,272941
FlushQueue.waitingTimeAvgNs,1775851627737000000,1775851687930000000,0.0
FlushQueue.executionTimeMaxNs,1775851627737000000,1775851687930000000,0
FlushQueue.executionTimeAvgNs,1775851627737000000,1775851687930000000,0.0
AWTEventQueue.dispatchTime90PNs,1775851627737000000,1775851687930000000,1130495
NonBlockingReadAction.failedExecutionTimeUs,1775851627737000000,1775851687930000000,7679
NonBlockingReadAction.finalizedExecutionsCount,1775851627737000000,1775851687930000000,260
cacheStateStorage.get.duration,1775851627737000000,1775851687930000000,64
cacheStateStorage.set.duration,1775851627737000000,1775851687930000000,160
cacheStateStorage.get.counter,1775851627737000000,1775851687930000000,27
cacheStateStorage.set.counter,1775851627737000000,1775851687930000000,6
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1775851627737000000,1775851687930000000,2
workspaceModel.workspaceFileIndexData.init.ms,1775851627737000000,1775851687930000000,31
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1775851627737000000,1775851687930000000,4
workspaceModel.entityStorageSnapshotImpl.instances.count,1775851627737000000,1775851687930000000,33
workspaceModel.replace.project.model.ms,1775851627737000000,1775851687930000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1775851627737000000,1775851687930000000,159
workspaceModel.updates.ms,1775851627737000000,1775851687930000000,147
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1775851627737000000,1775851687930000000,57
workspaceModel.workspaceFileIndexData.instances.count,1775851627737000000,1775851687930000000,1
workspaceModel.loading.from.cache.ms,1775851627737000000,1775851687930000000,38
workspaceModel.cachedValue.clear.count,1775851627737000000,1775851687930000000,2
workspaceModel.collect.changes.ms,1775851627737000000,1775851687930000000,0
workspaceModel.cachedValueWithParameters.clear.count,1775851627737000000,1775851687930000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1775851627737000000,1775851687930000000,0
workspaceModel.update.unloaded.entities.ms,1775851627737000000,1775851687930000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1775851627737000000,1775851687930000000,0
workspaceModel.updates.precise.ms,1775851627737000000,1775851687930000000,6
workspaceModel.cachedValue.from.cache.count,1775851627737000000,1775851687930000000,72
workspaceModel.workspaceFileIndexData.markDirty.ms,1775851627737000000,1775851687930000000,0
workspaceModel.pre.handlers.ms,1775851627737000000,1775851687930000000,2
workspaceModel.loading.total.ms,1775851627737000000,1775851687930000000,68
workspaceModel.on.changed.ms,1775851627737000000,1775851687930000000,124
workspaceModel.workspaceFileIndexData.processFileSets.ms,1775851627737000000,1775851687930000000,0
workspaceModel.to.snapshot.ms,1775851627737000000,1775851687930000000,1
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1775851627737000000,1775851687930000000,0
workspaceModel.cachedValue.calculated.count,1775851627737000000,1775851687930000000,23
workspaceModel.init.bridges.ms,1775851627737000000,1775851687930000000,9
workspaceModel.cachedValue.total.get.count,1775851627737000000,1775851687930000000,95
workspaceModel.check.recursive.update.ms,1775851627737000000,1775851687930000000,2
workspaceModel.on.before.changed.ms,1775851627737000000,1775851687930000000,96
workspaceModel.initializing.ms,1775851627737000000,1775851687930000000,5
workspaceModel.full.replace.project.model.ms,1775851627737000000,1775851687930000000,102
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1775851627737000000,1775851687930000000,62
workspaceModel.workspaceFileIndexData.getPackageName.ms,1775851627737000000,1775851687930000000,5
workspaceModel.cachedValueWithParameters.calculated.count,1775851627737000000,1775851687930000000,0
workspaceModel.updates.count,1775851627737000000,1775851687930000000,7
