# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsReadDecompressed,1775856189040000000,1775856249232000000,0
VFS.contentStorage.recordsStoredSize,1775856189040000000,1775856249232000000,0
FileNameCache.totalMisses,1775856189040000000,1775856249232000000,28224
VFS.contentStorage.recordsDecompressionTimeUs,1775856189040000000,1775856249232000000,0
VFS.invertedFileNameIndex.requests,1775856189040000000,1775856249232000000,6
VFS.contentStorage.recordsRead,1775856189040000000,1775856249232000000,9
VFS.contentStorage.recordsStoredCompressed,1775856189040000000,1775856249232000000,0
VFS.folderCaseSensitivityReads,1775856189040000000,1775856249232000000,0
VFS.fileByIdCache.hits,1775856189040000000,1775856249232000000,0
VFS.contentStorage.recordsUncompressedSize,1775856189040000000,1775856249232000000,0
FileNameCache.queries,1775856189040000000,1775856249232000000,389632
VFS.contentStorage.recordsStored,1775856189040000000,1775856249232000000,0
VFS.fileByIdCache.misses,1775856189040000000,1775856249232000000,13
VFS.contentStorage.recordsDeduplicated,1775856189040000000,1775856249232000000,0
VFS.contentStorage.recordsReadSize,1775856189040000000,1775856249232000000,4126
VFS.fileChildByName,1775856189040000000,1775856249232000000,1930
writeAction.count,1775856189040000000,1775856249232000000,11
DiskQueryRelay.taskExecutionTotalTimeUs,1775856189040000000,1775856249232000000,58228
lexer.DotEnv.size.bytes,1775856189040000000,1775856249232000000,457
DiskQueryRelay.tasksExecuted,1775856189040000000,1775856249232000000,130
DiskQueryRelay.taskWaitingTotalTimeUs,1775856189040000000,1775856249232000000,148584
writeAction.wait.ms,1775856189040000000,1775856249232000000,390
parser.DotEnv.time.ns,1775856189040000000,1775856249232000000,4082133
parser.DotEnv.size.bytes,1775856189040000000,1775856249232000000,457
lexer.DotEnv.time.ns,1775856189040000000,1775856249232000000,1622057
writeAction.median.wait.ms,1775856189040000000,1775856249232000000,0
DiskQueryRelay.tasksRequested,1775856189040000000,1775856249232000000,130
writeAction.max.wait.ms,1775856189040000000,1775856249232000000,302
JVM.usedNativeBytes,1775856189040000000,1775856249232000000,330074232
JVM.GC.collectionTimesMs,1775856189040000000,1775856249232000000,930
JVM.totalSafepointCount,1775856189040000000,1775856249232000000,218
JVM.totalCpuTimeMs,1775856189040000000,1775856249232000000,98960
JVM.maxThreadCount,1775856189040000000,1775856249232000000,116
JVM.usedHeapBytes,1775856189040000000,1775856249232000000,452891456
JVM.GC.collections,1775856189040000000,1775856249232000000,59
OS.loadAverage,1775856189040000000,1775856249232000000,3.62353515625
JVM.totalTimeToSafepointsMs,1775856189040000000,1775856249232000000,86
JVM.totalTimeAtSafepointsMs,1775856189040000000,1775856249232000000,954
JVM.threadCount,1775856189040000000,1775856249232000000,113
MEM.ramMinusFileMappingsBytes,1775856189040000000,1775856249232000000,1279119360
MEM.fileMappingsRamBytes,1775856189040000000,1775856249232000000,528728064
JVM.totalBytesAllocated,1775856189040000000,1775856249232000000,5816639984
JVM.totalDirectByteBuffersBytes,1775856189040000000,1775856249232000000,6455121
JVM.maxHeapBytes,1775856189040000000,1775856249232000000,2147483648
JVM.newThreadsCount,1775856189040000000,1775856249232000000,127
JVM.committedHeapBytes,1775856189040000000,1775856249232000000,736100352
MEM.ramBytes,1775856189040000000,1775856249232000000,1807953920
MEM.ramPlusSwapMinusFileMappingsBytes,1775856189040000000,1775856249232000000,1279119360
workspaceModel.updates.ms,1775856189040000000,1775856249232000000,174
workspaceModel.workspaceFileIndexData.markDirty.ms,1775856189040000000,1775856249232000000,0
workspaceModel.pre.handlers.ms,1775856189040000000,1775856249232000000,1
workspaceModel.init.bridges.ms,1775856189040000000,1775856249232000000,4
workspaceModel.workspaceFileIndexData.processFileSets.ms,1775856189040000000,1775856249232000000,0
workspaceModel.collect.changes.ms,1775856189040000000,1775856249232000000,0
workspaceModel.full.replace.project.model.ms,1775856189040000000,1775856249232000000,5
workspaceModel.cachedValueWithParameters.from.cache.count,1775856189040000000,1775856249232000000,0
workspaceModel.loading.from.cache.ms,1775856189040000000,1775856249232000000,266
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1775856189040000000,1775856249232000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1775856189040000000,1775856249232000000,4
workspaceModel.replace.project.model.ms,1775856189040000000,1775856249232000000,0
workspaceModel.cachedValue.clear.count,1775856189040000000,1775856249232000000,0
workspaceModel.on.changed.ms,1775856189040000000,1775856249232000000,100
workspaceModel.loading.total.ms,1775856189040000000,1775856249232000000,277
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1775856189040000000,1775856249232000000,756
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1775856189040000000,1775856249232000000,60
workspaceModel.workspaceFileIndexData.instances.count,1775856189040000000,1775856249232000000,1
workspaceModel.cachedValueWithParameters.total.get.count,1775856189040000000,1775856249232000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1775856189040000000,1775856249232000000,35
workspaceModel.check.recursive.update.ms,1775856189040000000,1775856249232000000,0
workspaceModel.to.snapshot.ms,1775856189040000000,1775856249232000000,1
workspaceModel.cachedValue.from.cache.count,1775856189040000000,1775856249232000000,44
workspaceModel.initializing.ms,1775856189040000000,1775856249232000000,4
workspaceModel.updates.precise.ms,1775856189040000000,1775856249232000000,28
workspaceModel.cachedValueWithParameters.calculated.count,1775856189040000000,1775856249232000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1775856189040000000,1775856249232000000,19
workspaceModel.on.before.changed.ms,1775856189040000000,1775856249232000000,39
workspaceModel.updates.count,1775856189040000000,1775856249232000000,3
workspaceModel.cachedValueWithParameters.clear.count,1775856189040000000,1775856249232000000,0
workspaceModel.workspaceFileIndexData.init.ms,1775856189040000000,1775856249232000000,33
workspaceModel.cachedValue.total.get.count,1775856189040000000,1775856249232000000,56
workspaceModel.workspaceFileIndexData.getPackageName.ms,1775856189040000000,1775856249232000000,12
workspaceModel.cachedValue.calculated.count,1775856189040000000,1775856249232000000,12
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1775856189040000000,1775856249232000000,1
workspaceModel.update.unloaded.entities.ms,1775856189040000000,1775856249232000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775856189040000000,1775856249232000000,3
workspaceModel.sync.entities.ms,1775856189040000000,1775856249232000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775856189040000000,1775856249232000000,0
jps.module.iml.entities.serializer.load.entities.ms,1775856189040000000,1775856249232000000,18
workspaceModel.orphan.listener.update.ms,1775856189040000000,1775856249232000000,5
jps.module.iml.entities.serializer.save.entities.ms,1775856189040000000,1775856249232000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775856189040000000,1775856249232000000,0
jps.load.initial.state.ms,1775856189040000000,1775856249232000000,21
workspaceModel.moduleManagerBridge.newModule.ms,1775856189040000000,1775856249232000000,0
jps.facet.change.listener.before.change.events.ms,1775856189040000000,1775856249232000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1775856189040000000,1775856249232000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1775856189040000000,1775856249232000000,9
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1775856189040000000,1775856249232000000,1
jps.library.entities.serializer.save.entities.ms,1775856189040000000,1775856249232000000,0
workspaceModel.save.cache.to.file.ms,1775856189040000000,1775856249232000000,74
jps.project.serializers.load.ms,1775856189040000000,1775856249232000000,34
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1775856189040000000,1775856249232000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775856189040000000,1775856249232000000,0
jps.reload.project.entities.ms,1775856189040000000,1775856249232000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1775856189040000000,1775856249232000000,1
jps.global.get.library.ms,1775856189040000000,1775856249232000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775856189040000000,1775856249232000000,0
jps.library.entities.serializer.load.entities.ms,1775856189040000000,1775856249232000000,0
jps.artifact.entities.serializer.load.entities.ms,1775856189040000000,1775856249232000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775856189040000000,1775856249232000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775856189040000000,1775856249232000000,4
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775856189040000000,1775856249232000000,17
jps.storage.jps.conf.reader.load.component.ms,1775856189040000000,1775856249232000000,5
workspaceModel.mutableEntityStorage.modify.entity.ms,1775856189040000000,1775856249232000000,2
workspaceModel.mutableEntityStorage.instances.count,1775856189040000000,1775856249232000000,27
workspaceModel.load.cache.from.file.ms,1775856189040000000,1775856249232000000,284
jps.save.global.entities.ms,1775856189040000000,1775856249232000000,71
workspaceModel.moduleBridge.before.changed.ms,1775856189040000000,1775856249232000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1775856189040000000,1775856249232000000,66
workspaceModel.global.apply.state.to.project.ms,1775856189040000000,1775856249232000000,171
workspaceModel.moduleManagerBridge.load.module.ms,1775856189040000000,1775856249232000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775856189040000000,1775856249232000000,0
jps.facet.change.listener.init.bridge.ms,1775856189040000000,1775856249232000000,2
jps.load.project.to.empty.storage.ms,1775856189040000000,1775856249232000000,85
jps.global.handle.changed.events.ms,1775856189040000000,1775856249232000000,0
jps.global.get.library.by.name.ms,1775856189040000000,1775856249232000000,0
jps.app.storage.content.reader.load.component.ms,1775856189040000000,1775856249232000000,6
jps.project.serializers.save.ms,1775856189040000000,1775856249232000000,2
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1775856189040000000,1775856249232000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775856189040000000,1775856249232000000,0
jps.save.changed.project.entities.ms,1775856189040000000,1775856249232000000,3
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775856189040000000,1775856249232000000,0
jps.app.storage.content.writer.save.component.ms,1775856189040000000,1775856249232000000,21
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775856189040000000,1775856249232000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1775856189040000000,1775856249232000000,1
jps.facet.change.listener.process.change.events.ms,1775856189040000000,1775856249232000000,4
jps.global.initialize.library.bridges.ms,1775856189040000000,1775856249232000000,1
workspaceModel.global.updates.ms,1775856189040000000,1775856249232000000,10
workspaceModel.do.save.caches.ms,1775856189040000000,1775856249232000000,74
workspaceModel.delayed.project.synchronizer.sync.ms,1775856189040000000,1775856249232000000,106
workspaceModel.mutableEntityStorage.resolve.ms,1775856189040000000,1775856249232000000,1
jps.apply.loaded.storage.ms,1775856189040000000,1775856249232000000,19
workspaceModel.global.apply.state.to.project.builder.ms,1775856189040000000,1775856249232000000,3
jps.global.get.libraries.ms,1775856189040000000,1775856249232000000,0
jps.artifact.entities.serializer.save.entities.ms,1775856189040000000,1775856249232000000,0
workspaceModel.global.updates.count,1775856189040000000,1775856249232000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775856189040000000,1775856249232000000,0
jps.global.handle.before.change.events.ms,1775856189040000000,1775856249232000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1775856189040000000,1775856249232000000,9
jps.global.initialize.library.bridges.after.loading.ms,1775856189040000000,1775856249232000000,1
workspaceModel.moduleBridge.update.option.ms,1775856189040000000,1775856249232000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775856189040000000,1775856249232000000,25
workspaceModel.load.cache.metadata.from.file.ms,1775856189040000000,1775856249232000000,36
workspaceModel.moduleBridgeLoader.loading.modules.ms,1775856189040000000,1775856249232000000,376
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775856189040000000,1775856249232000000,7
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775856189040000000,1775856249232000000,84
Indexing.writer_0.totalTimeSpentWritingMs,1775856189040000000,1775856249232000000,0
Indexes.stubs.lookupDurationMaxMs,1775856189040000000,1775856249232000000,0.0
Indexes.stubs.lookups,1775856189040000000,1775856249232000000,0
Indexing.totalTimeIndexersSleptMs,1775856189040000000,1775856249232000000,0
