# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.count,1775857877443000000,1775857937610000000,18
DiskQueryRelay.taskExecutionTotalTimeUs,1775857877443000000,1775857937610000000,6531843
DiskQueryRelay.tasksRequested,1775857877443000000,1775857937610000000,120977
parser.Markdown.time.ns,1775857877443000000,1775857937610000000,296603838
writeAction.median.wait.ms,1775857877443000000,1775857937610000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1775857877443000000,1775857937610000000,12075096
parser.DotEnv.time.ns,1775857877443000000,1775857937610000000,4292911
lexer.Markdown.size.bytes,1775857877443000000,1775857937610000000,13584
lexer.DotEnv.time.ns,1775857877443000000,1775857937610000000,5426276
lexer.HTML.time.ns,1775857877443000000,1775857937610000000,10704523
lexer.JSON.size.bytes,1775857877443000000,1775857937610000000,503
writeAction.max.wait.ms,1775857877443000000,1775857937610000000,3
lexer.Markdown.time.ns,1775857877443000000,1775857937610000000,152756665
lexer.JSON.time.ns,1775857877443000000,1775857937610000000,5472184
lexer.DotEnv.size.bytes,1775857877443000000,1775857937610000000,2656
parser.HTML.time.ns,1775857877443000000,1775857937610000000,27445402
lexer.HTML.size.bytes,1775857877443000000,1775857937610000000,8611
parser.HTML.size.bytes,1775857877443000000,1775857937610000000,8611
DiskQueryRelay.tasksExecuted,1775857877443000000,1775857937610000000,120977
parser.JSON.time.ns,1775857877443000000,1775857937610000000,53103189
parser.Markdown.size.bytes,1775857877443000000,1775857937610000000,13584
parser.DotEnv.size.bytes,1775857877443000000,1775857937610000000,2656
writeAction.wait.ms,1775857877443000000,1775857937610000000,14
parser.JSON.size.bytes,1775857877443000000,1775857937610000000,503
cacheStateStorage.set.duration,1775857877443000000,1775857937610000000,141
cacheStateStorage.get.counter,1775857877443000000,1775857937610000000,35
cacheStateStorage.get.duration,1775857877443000000,1775857937610000000,71
cacheStateStorage.set.counter,1775857877443000000,1775857937610000000,6
compiler.ArtifactManagerBridge.getArtifacts.ms,1775857877443000000,1775857937610000000,0
compiler.ArtifactManagerBridge.commit.ms,1775857877443000000,1775857937610000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1775857877443000000,1775857937610000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1775857877443000000,1775857937610000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1775857877443000000,1775857937610000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1775857877443000000,1775857937610000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1775857877443000000,1775857937610000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775857877443000000,1775857937610000000,0
StorageLockContext.competingThreads.max,1775857877443000000,1775857937610000000,0
FilePageCache.disposedBuffers,1775857877443000000,1775857937610000000,5
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775857877443000000,1775857937610000000,562053120
DirectByteBufferAllocator.hits,1775857877443000000,1775857937610000000,5
FilePageCache.totalPageDisposalsUs,1775857877443000000,1775857937610000000,3204
FilePageCache.uncachedFileAccess,1775857877443000000,1775857937610000000,1001
StorageLockContext.competingThreads.90P,1775857877443000000,1775857937610000000,0
FilePageCache.totalPageLoadsUs,1775857877443000000,1775857937610000000,3601282
DirectByteBufferAllocator.disposed,1775857877443000000,1775857937610000000,0
StorageLockContext.competingThreads.avg,1775857877443000000,1775857937610000000,0.0
MappedFileStorage.totalBytesMapped,1775857877443000000,1775857937610000000,194248704
FileChannelInterruptsRetryer.totalRetriedAttempts,1775857877443000000,1775857937610000000,0
StreamlinedBlobStorage.recordsDeleted,1775857877443000000,1775857937610000000,4
MappedFileStorage.totalTimeSpentOnMappingUs,1775857877443000000,1775857937610000000,302013
DirectByteBufferAllocator.misses,1775857877443000000,1775857937610000000,538
DirectByteBufferAllocator.reclaimed,1775857877443000000,1775857937610000000,5
FilePageCache.pageLoads,1775857877443000000,1775857937610000000,543
FilePageCache.maxRegisteredFiles,1775857877443000000,1775857937610000000,1030
StreamlinedBlobStorage.recordsRelocated,1775857877443000000,1775857937610000000,0
MappedFileStorage.totalPagesMapped,1775857877443000000,1775857937610000000,14
FilePageCache.pageFastCacheHits,1775857877443000000,1775857937610000000,3116673
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1775857877443000000,1775857937610000000,434963
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1775857877443000000,1775857937610000000,2234310
FilePageCache.pageHits,1775857877443000000,1775857937610000000,15798
MappedFileStorage.storages,1775857877443000000,1775857937610000000,14
StreamlinedBlobStorage.recordsAllocated,1775857877443000000,1775857937610000000,31322
FilePageCache.maxCacheSizeInBytes,1775857877443000000,1775857937610000000,562053120
FilePageCache.capacityInBytes,1775857877443000000,1775857937610000000,629145600
FilePageCache.pageLoadsAboveSizeThreshold,1775857877443000000,1775857937610000000,0
VFS.contentStorage.recordsStoredSize,1775857877443000000,1775857937610000000,4865
FileNameCache.totalMisses,1775857877443000000,1775857937610000000,25280
VFS.folderCaseSensitivityReads,1775857877443000000,1775857937610000000,68
FileNameCache.queries,1775857877443000000,1775857937610000000,2842624
VFS.contentStorage.recordsStoredCompressed,1775857877443000000,1775857937610000000,1
VFS.contentStorage.recordsReadSize,1775857877443000000,1775857937610000000,5312
VFS.fileByIdCache.misses,1775857877443000000,1775857937610000000,3
VFS.fileByIdCache.hits,1775857877443000000,1775857937610000000,0
VFS.contentStorage.recordsReadDecompressed,1775857877443000000,1775857937610000000,0
VFS.invertedFileNameIndex.requests,1775857877443000000,1775857937610000000,3
VFS.contentStorage.recordsDecompressionTimeUs,1775857877443000000,1775857937610000000,0
VFS.fileChildByName,1775857877443000000,1775857937610000000,19954
VFS.contentStorage.recordsStored,1775857877443000000,1775857937610000000,3
VFS.contentStorage.recordsRead,1775857877443000000,1775857937610000000,4
VFS.contentStorage.recordsUncompressedSize,1775857877443000000,1775857937610000000,27216
VFS.contentStorage.recordsDeduplicated,1775857877443000000,1775857937610000000,0
Indexes.stubs.lookupDurationAvgMs,1775857877443000000,1775857937610000000,0.0
Indexes.entries.lookups,1775857877443000000,1775857937610000000,2
Indexes.allKeys.lookupDurationAvgMs,1775857877443000000,1775857937610000000,0.0
Indexing.writesQueuedMax,1775857877443000000,1775857937610000000,0
Indexing.totalTimeIndexersSleptMs,1775857877443000000,1775857937610000000,25296
Indexing.cache.totalCacheMisses,1775857877443000000,1775857937610000000,678219
Indexing.writer_5.totalTimeSpentWritingMs,1775857877443000000,1775857937610000000,7746
Indexes.stubs.lookupDuration90PMs,1775857877443000000,1775857937610000000,0.0
Indexes.stubs.lookups,1775857877443000000,1775857937610000000,0
Indexes.allKeys.lookups,1775857877443000000,1775857937610000000,0
Indexes.entries.lookupDuration90PMs,1775857877443000000,1775857937610000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1775857877443000000,1775857937610000000,632
Indexing.cache.totalCacheEvicted,1775857877443000000,1775857937610000000,678218
Indexes.allKeys.lookupDurationMaxMs,1775857877443000000,1775857937610000000,0.0
Indexing.cache.totalCacheAccesses,1775857877443000000,1775857937610000000,1224628
Indexing.writer_2.totalTimeSpentWritingMs,1775857877443000000,1775857937610000000,501
Indexes.entries.lookupDurationMaxMs,1775857877443000000,1775857937610000000,0.0
Indexes.entries.lookupDurationAvgMs,1775857877443000000,1775857937610000000,0.0
Indexes.stubs.lookupDurationMaxMs,1775857877443000000,1775857937610000000,0.0
Indexing.writer_4.totalTimeSpentWritingMs,1775857877443000000,1775857937610000000,8371
Indexes.allKeys.lookupDuration90PMs,1775857877443000000,1775857937610000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1775857877443000000,1775857937610000000,365
Indexing.writesQueuedMin,1775857877443000000,1775857937610000000,9223372036854775807
Indexing.writer_1.totalTimeSpentWritingMs,1775857877443000000,1775857937610000000,466
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1775857877443000000,1775857937610000000,679
workspaceModel.replace.project.model.ms,1775857877443000000,1775857937610000000,0
workspaceModel.pre.handlers.ms,1775857877443000000,1775857937610000000,1
workspaceModel.cachedValueWithParameters.total.get.count,1775857877443000000,1775857937610000000,0
workspaceModel.check.recursive.update.ms,1775857877443000000,1775857937610000000,0
workspaceModel.on.before.changed.ms,1775857877443000000,1775857937610000000,80
workspaceModel.cachedValue.from.cache.count,1775857877443000000,1775857937610000000,71
workspaceModel.loading.from.cache.ms,1775857877443000000,1775857937610000000,39
workspaceModel.cachedValueWithParameters.calculated.count,1775857877443000000,1775857937610000000,0
workspaceModel.collect.changes.ms,1775857877443000000,1775857937610000000,0
workspaceModel.updates.precise.ms,1775857877443000000,1775857937610000000,5
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1775857877443000000,1775857937610000000,0
workspaceModel.full.replace.project.model.ms,1775857877443000000,1775857937610000000,180
workspaceModel.workspaceFileIndexData.instances.count,1775857877443000000,1775857937610000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1775857877443000000,1775857937610000000,18
workspaceModel.cachedValueWithParameters.from.cache.count,1775857877443000000,1775857937610000000,0
workspaceModel.updates.count,1775857877443000000,1775857937610000000,3
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1775857877443000000,1775857937610000000,18
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1775857877443000000,1775857937610000000,11
workspaceModel.update.unloaded.entities.ms,1775857877443000000,1775857937610000000,0
workspaceModel.cachedValue.clear.count,1775857877443000000,1775857937610000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1775857877443000000,1775857937610000000,8
workspaceModel.cachedValueWithParameters.clear.count,1775857877443000000,1775857937610000000,0
workspaceModel.cachedValue.calculated.count,1775857877443000000,1775857937610000000,15
workspaceModel.workspaceFileIndexData.markDirty.ms,1775857877443000000,1775857937610000000,0
workspaceModel.on.changed.ms,1775857877443000000,1775857937610000000,144
workspaceModel.cachedValue.total.get.count,1775857877443000000,1775857937610000000,86
workspaceModel.workspaceFileIndexData.processFileSets.ms,1775857877443000000,1775857937610000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1775857877443000000,1775857937610000000,15
workspaceModel.to.snapshot.ms,1775857877443000000,1775857937610000000,0
workspaceModel.initializing.ms,1775857877443000000,1775857937610000000,0
workspaceModel.loading.total.ms,1775857877443000000,1775857937610000000,64
workspaceModel.updates.ms,1775857877443000000,1775857937610000000,72
workspaceModel.workspaceFileIndexData.getPackageName.ms,1775857877443000000,1775857937610000000,3
workspaceModel.workspaceFileIndexData.init.ms,1775857877443000000,1775857937610000000,5
workspaceModel.init.bridges.ms,1775857877443000000,1775857937610000000,6
NonBlockingReadAction.finalizedExecutionsCount,1775857877443000000,1775857937610000000,70
AWTEventQueue.dispatchTimeAvgNs,1775857877443000000,1775857937610000000,0.0
WriteAction.executionsCount,1775857877443000000,1775857937610000000,18
FlushQueue.queueSizeMax,1775857877443000000,1775857937610000000,0
FlushQueue.queueSize90P,1775857877443000000,1775857937610000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1775857877443000000,1775857937610000000,180332
FlushQueue.waitingTime90PNs,1775857877443000000,1775857937610000000,0
FlushQueue.executionTimeAvgNs,1775857877443000000,1775857937610000000,0.0
FlushQueue.queueSizeAvg,1775857877443000000,1775857937610000000,0.0
ReadAction.executionsCount,1775857877443000000,1775857937610000000,220954
NonBlockingReadAction.failedExecutionsCount,1775857877443000000,1775857937610000000,2
FlushQueue.executionTimeMaxNs,1775857877443000000,1775857937610000000,0
AWTEventQueue.dispatchTimeMaxNs,1775857877443000000,1775857937610000000,0
FlushQueue.tasksExecuted,1775857877443000000,1775857937610000000,0
AWTEventQueue.dispatchTimeTotalNS,1775857877443000000,1775857937610000000,13601124592
AWTEventQueue.dispatchTime90PNs,1775857877443000000,1775857937610000000,0
FlushQueue.waitingTimeAvgNs,1775857877443000000,1775857937610000000,0.0
FlushQueue.waitingTimeMaxNs,1775857877443000000,1775857937610000000,0
AWTEventQueue.eventsDispatched,1775857877443000000,1775857937610000000,0
FlushQueue.executionTime90PNs,1775857877443000000,1775857937610000000,0
NonBlockingReadAction.failedExecutionTimeUs,1775857877443000000,1775857937610000000,404974
JVM.totalTimeAtSafepointsMs,1775857877443000000,1775857937610000000,1132
JVM.GC.collections,1775857877443000000,1775857937610000000,95
MEM.ramBytes,1775857877443000000,1775857937610000000,3140116480
JVM.threadCount,1775857877443000000,1775857937610000000,148
JVM.totalDirectByteBuffersBytes,1775857877443000000,1775857937610000000,574163638
JVM.totalTimeToSafepointsMs,1775857877443000000,1775857937610000000,108
JVM.committedHeapBytes,1775857877443000000,1775857937610000000,1174405120
JVM.maxHeapBytes,1775857877443000000,1775857937610000000,2147483648
MEM.fileMappingsRamBytes,1775857877443000000,1775857937610000000,739155968
JVM.totalCpuTimeMs,1775857877443000000,1775857937610000000,294240
JVM.newThreadsCount,1775857877443000000,1775857937610000000,177
JVM.totalSafepointCount,1775857877443000000,1775857937610000000,262
JVM.maxThreadCount,1775857877443000000,1775857937610000000,149
MEM.ramMinusFileMappingsBytes,1775857877443000000,1775857937610000000,2400858112
MEM.ramPlusSwapMinusFileMappingsBytes,1775857877443000000,1775857937610000000,2400858112
JVM.GC.collectionTimesMs,1775857877443000000,1775857937610000000,1084
JVM.usedNativeBytes,1775857877443000000,1775857937610000000,394505088
JVM.usedHeapBytes,1775857877443000000,1775857937610000000,826888896
JVM.totalBytesAllocated,1775857877443000000,1775857937610000000,13084221608
OS.loadAverage,1775857877443000000,1775857937610000000,6.09326171875
workspaceModel.moduleManagerBridge.get.modules.ms,1775857877443000000,1775857937610000000,0
workspaceModel.load.cache.from.file.ms,1775857877443000000,1775857937610000000,0
jps.global.get.library.by.name.ms,1775857877443000000,1775857937610000000,0
jps.storage.jps.conf.reader.load.component.ms,1775857877443000000,1775857937610000000,6
jps.global.handle.changed.events.ms,1775857877443000000,1775857937610000000,0
jps.load.project.to.empty.storage.ms,1775857877443000000,1775857937610000000,259
jps.module.iml.entities.serializer.load.entities.ms,1775857877443000000,1775857937610000000,48
workspaceModel.moduleBridge.update.option.ms,1775857877443000000,1775857937610000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775857877443000000,1775857937610000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1775857877443000000,1775857937610000000,3
jps.artifact.entities.serializer.save.entities.ms,1775857877443000000,1775857937610000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1775857877443000000,1775857937610000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775857877443000000,1775857937610000000,11
jps.facet.change.listener.process.change.events.ms,1775857877443000000,1775857937610000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775857877443000000,1775857937610000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775857877443000000,1775857937610000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775857877443000000,1775857937610000000,4
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775857877443000000,1775857937610000000,0
jps.global.handle.before.change.events.ms,1775857877443000000,1775857937610000000,0
workspaceModel.global.updates.ms,1775857877443000000,1775857937610000000,63
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775857877443000000,1775857937610000000,0
jps.project.serializers.load.ms,1775857877443000000,1775857937610000000,108
jps.global.get.library.ms,1775857877443000000,1775857937610000000,0
